Species,Jaw/Skull length (mm),Durophagous dentition,FAD,LAD,Source,Method of estimation,,,,,,
Pontosaurus_kornhuberi_100_94,41.608,No,,,"Michael W. Caldwell (2006). ""A new species of Pontosaurus (Squamata, Pythonomorpha) from the Upper Cretaceous of Lebanon and a phylogenetic analysis of Pythonomorpha"". Memorie della Societ? Italiana di Scienze Naturali e del Museo Civico di Storia Naturale di Milano.",Measuring of figures via ImageJ,,,,,,
Dolichosaurus_longicollis_101_90,NA,No,,,"ON THE AQUATIC SQUAMATE DOLICHOSAURUS LONGICOLLIS OWEN, 1850 (CENOMANIAN, UPPER CRETACEOUS), AND THE EVOLUTION OF ELONGATE NECKS IN SQUAMATES",Estimation provided by the authors,,,,,,
Adriosaurus_suessi_100_94,25.281,No,,,"Adriosaurus and the affinities of mosasaurs, dolichosaurs, and snakes",Measuring of figures via ImageJ,,,,,,
Aigialosaurus_dalmaticus_94_93,136.013,No,,,"Redescription of Aigialosaurus dalmaticus Kramberger, 1892, a Cenomanian mosasauroid lizard from Hvar Island, Croatia",Measuring of figures via ImageJ,,,Main source: ,https://www.sciencedirect.com/science/article/pii/S0031018213002514,,
Opetiosaurus_bucchichi_94_93,211.236,No,,,A Redescription of Aigialosaurus (= Opetiosaurus) Bucchichi () (Squamata: Aigialosauridae) with Comments on Mosasauroid Systematics,Measuring of figures via ImageJ,,,,,,
Komensaurus_carrolli_94_93,NA,No,,,main source,Main source,,,,,,
Tethysaurus_nopcsai_94_93,285.5,No,,,A new mosasauroid (Squamata) from the Late Cretaceous (Turonian) of Morocco,,,,,,,
Pannoniasaurus_inexpectatus_86_84,623,No,,,"The First Freshwater Mosasauroid (Upper Cretaceous, Hungary) and a New Clade of Basal Mosasauroids",estimation provided by the authors,,,,,,
Yaguarasaurus_columbianus_90_89,645.75,No,,,"Yaguarasaurus columbianus (Reptilia, Mosasauridae), a primitive mosasaur from the Turonian (upper cretaceous) of Colombia; Posición sistemática de un reptil marino con base en los restos fosiles encontrados en capas del Cretácico superior en Yaguara (Huila)",,,,,,,
Russellosaurus_coheni_93_93,411.48,No,,,"Russellosaurus coheni n. gen., n. sp., a 92 million-year-old mosasaur from Texas (USA), and the definition of the parafamily Russellosaurina",,,,,,,
Romeosaurus_fumanensis_91_86,661.563,No,,,A new genus and subfamily of mosasaurs from the Upper Cretaceous of northern Italy,,,,,,,
Tylosaurus_nepaeolicus_89_85,1014.286,No,,,Personal observation,,,,,,,
Tylosaurus_proriger_84_80,1583.05,No,,,Personal communication,,,,,,,
Tylosaurus_bernardi_84_71,1549,No,,,"Reassessment and reassignment of the early Maastrichtian mosasaur Hainosaurus bernardi Dollo, 1885, to Tylosaurus Marsh, 1872",,,,,,,
Taniwhasaurus_oweni_84_66,730.193,No,,,An Unusual Tylosaurine Mosasaur from New Zealand: A New Skull of Taniwhasaurus oweni (Lower Haumurian; Upper Cretaceous),,,,,,,
Taniwhasaurus_antarcticus_84_66,663.55,No,,,"Description and phylogenetic relationships of Taniwhasaurus antarcticus (Mosasauridae, Tylosaurinae) from the upper Campanian (Cretaceous) of Antarctica",,,,,,,
Angolasaurus_bocagei_90_89,400,No,,,The Cenomanian-Turonian (late Cretaceous) radiation of marine squamates (Reptilia): the role of the Mediterranean Tethys,,,,,,,
Selmasaurus_johnsoni_85_85,378.744,No,,,Personal observation,,,,,,,
Ectenosaurus_clidastoides_84_81,648.734,No,,,Personal observation,,,,,,,
Plesioplatecarpus_planifrons_90_85,425.63,No,,,Personal observation,,,,,Latoplatecarpus_nichollsae,1038.472,1038.472
Latoplatecarpus_willistoni_84_78,1038.472,,,,,,,,,,,
Platecarpus_tympaniticus_84_78,616.484,No,,,Personal observation,,,,,Latoplatecarpus,,NA
Plioplatecarpus_81_66,540.151,No,,,Personal observation,,,,,Plioplatecarpus_primaevus,540.151,540.151
Eonatator_sternbergii_87_79,528.17,No,,,"A new species of Halisaurus. from the Late Cretaceous phosphates of Morocco, and the phylogenetical relationships of the Halisaurinae (Squamata: Mosasauridae)",,,,,,,
Halisaurus_platyspondylus_70_66,689.07,No,,,"A new species of Halisaurus. from the Late Cretaceous phosphates of Morocco, and the phylogenetical relationships of the Halisaurinae (Squamata: Mosasauridae)",,,,,,,
Clidastes_liodontus_86_82,496.734,No,,,Personal observation,,,,,,,
Clidastes_moorevillensis_82_82,490.5,No,,,Taxonomy and historical inertia: Clidastes (Squamata: Mosasauridae) as a case study of problematic paleobiological taxonomy,,,,,,,
Clidastes_propython_85_82,589.299,No,,,Personal observation,,,,,,,
Globidens_dakotensis_79_79,657,Yes,,,"A new species of Globidens from South Dakota, and a review of globidentine mosasaurs",,,,,,,
Globidens_alabamaensis_79_79,840.8,Yes,,,"A new mosasauroid reptile from the Cretaceous of Alabama, Proceedings U.S. National Museum",Scaled from maxillia length and G.dakotensis,,,,,,
Plesiotylosaurus_crassidens_69_69,995,No,,,Scaled from Wikipedia image,https://commons.wikimedia.org/wiki/File:LACM_2759_outline.svg,,,,,,
Mosasaurus_conodon_75_67,1000.89,No,,,Osteology and taxonomy of Mosasaurus conodon Cope 1881 from the Late Cretaceous of North America,Scaled from MOR006 description paper,,,,,,
Mosasaurus_missouriensis_74_74,993.997,No,,,Personal observation,,,,,,,
Plotosaurus_bennisoni_69_69,770.158,No,,,Personal observation,,,,,,,
Mosasaurus_hoffmannii_71_66,1697.821,No,,,Scaled from Penza specimen paper figure,,,,,,,
Prognathodon_overtoni_71_71,1150,Yes,,,Sydney Mohr dissertation,,,,,,,
Prognathodon_saturator_71_66,1400,No,,,Prognathodon saturator initial description,,,,,,,
Prognathodon_solvayi_76_71,600,No,,,Sydney Mohr dissertation,,,,,,,
Prognathodon_currii_71_71,1497,Yes,,,A NEW SPECIES OF GIGANTIC MOSASAUR FROM THE LATE CRETACEOUS OF ISRAEL,,,,,,,
Prognathodon_waiparaensis_76_71,1110,No,,,Late Cretaceous marine reptiles of New Zealand,Esitimation by author,,,,,,
Prognathodon_kianda_72_72,845,No,,,"A new species of Prognathodon (Squamata, Mosasauridae) from the Maastrichtian of Angola, and the affinities of the mosasaur genus Liodon",Based on measurements provided by the authors,,,,,,
Eremiasaurus_heterodontus_71_66,788,No,,,A New Mosasaurine from the Maastrichtian (Upper Cretaceous) Phosphates of Morocco and Its Implications for Mosasaurine Systematics,Scaled from figure from the paper via ImgaeJ,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,6,11?,,,,,,,,,
